"city_code";"city_name"
"5303";KABUPATEN TIMOR TENGAH UTARA
"5304";KABUPATEN BELU
"5305";KABUPATEN ALOR
"5306";KABUPATEN FLORES TIMUR
"5307";KABUPATEN SIKKA
"5308";KABUPATEN ENDE
"5309";KABUPATEN NGADA
"5310";KABUPATEN MANGGARAI
"5311";KABUPATEN SUMBA TIMUR
"5312";KABUPATEN SUMBA BARAT
"5313";KABUPATEN LEMBATA
"5314";KABUPATEN ROTE NDAO
"5315";KABUPATEN MANGGARAI BARAT
"5316";KABUPATEN NAGEKEO
"5317";KABUPATEN SUMBA TENGAH
"5318";KABUPATEN SUMBA BARAT DAYA
"5319";KABUPATEN MANGGARAI TIMUR
"5320";KABUPATEN SABU RAIJUA
"5321";KABUPATEN MALAKA
"5371";KOTA KUPANG
"6101";KABUPATEN SAMBAS
"6102";KABUPATEN MEMPAWAH
"6103";KABUPATEN SANGGAU
"6104";KABUPATEN KETAPANG
"6105";KABUPATEN SINTANG
"6106";KABUPATEN KAPUAS HULU
"6107";KABUPATEN BENGKAYANG
"6108";KABUPATEN LANDAK
"6109";KABUPATEN SEKADAU
"6110";KABUPATEN MELAWI
"6111";KABUPATEN KAYONG UTARA
"6112";KABUPATEN KUBU RAYA
"6171";KOTA PONTIANAK
"6172";KOTA SINGKAWANG
"6201";KABUPATEN KOTAWARINGIN BARAT
"6202";KABUPATEN KOTAWARINGIN TIMUR
"6203";KABUPATEN KAPUAS
"6204";KABUPATEN BARITO SELATAN
"6205";KABUPATEN BARITO UTARA
"6206";KABUPATEN KATINGAN
"6207";KABUPATEN SERUYAN
"6208";KABUPATEN SUKAMARA
"6209";KABUPATEN LAMANDAU
"6210";KABUPATEN GUNUNG MAS
"6211";KABUPATEN PULANG PISAU
"6212";KABUPATEN MURUNG RAYA
"6213";KABUPATEN BARITO TIMUR
"6271";KOTA PALANGKARAYA
"6301";KABUPATEN TANAH LAUT
"6302";KABUPATEN KOTABARU
"6303";KABUPATEN BANJAR
"6304";KABUPATEN BARITO KUALA
"6305";KABUPATEN TAPIN
"6306";KABUPATEN HULU SUNGAI SELATAN
"6307";KABUPATEN HULU SUNGAI TENGAH
"6308";KABUPATEN HULU SUNGAI UTARA
"6309";KABUPATEN TABALONG
"6310";KABUPATEN TANAH BUMBU
"6311";KABUPATEN BALANGAN
"6371";KOTA BANJARMASIN
"6372";KOTA BANJARBARU
"6401";KABUPATEN PASER
"6402";KABUPATEN KUTAI KARTANEGARA
"6403";KABUPATEN BERAU
"6407";KABUPATEN KUTAI BARAT
"6408";KABUPATEN KUTAI TIMUR
"6409";KABUPATEN PENAJAM PASER UTARA
"6411";KABUPATEN MAHAKAM ULU
"6471";KOTA BALIKPAPAN
"6472";KOTA SAMARINDA
"6474";KOTA BONTANG
"6501";KABUPATEN BULUNGAN
"6502";KABUPATEN MALINAU
"6503";KABUPATEN NUNUKAN
"6504";KABUPATEN TANA TIDUNG
"6571";KOTA TARAKAN
"7101";KABUPATEN BOLAANG MONGONDOW
"7102";KABUPATEN MINAHASA
"7103";KABUPATEN KEPULAUAN SANGIHE
"7104";KABUPATEN KEPULAUAN TALAUD
"7105";KABUPATEN MINAHASA SELATAN
"7106";KABUPATEN MINAHASA UTARA
"7107";KABUPATEN MINAHASA TENGGARA
"7108";KABUPATEN BOLAANG MONGONDOW UTARA
"7109";KABUPATEN KEP. SIAU TAGULANDANG BIARO
"7110";KABUPATEN BOLAANG MONGONDOW TIMUR
"7111";KABUPATEN BOLAANG MONGONDOW SELATAN
"7171";KOTA MANADO
"7172";KOTA BITUNG
"7173";KOTA TOMOHON
"7174";KOTA KOTAMOBAGU
"7201";KABUPATEN BANGGAI
"7202";KABUPATEN POSO
"7203";KABUPATEN DONGGALA
"7204";KABUPATEN TOLI TOLI
"7205";KABUPATEN BUOL
"7206";KABUPATEN MOROWALI
"7207";KABUPATEN BANGGAI KEPULAUAN
"7208";KABUPATEN PARIGI MOUTONG
"7209";KABUPATEN TOJO UNA UNA
"7210";KABUPATEN SIGI
"7211";KABUPATEN BANGGAI LAUT
"7212";KABUPATEN MOROWALI UTARA
"7271";KOTA PALU
"7301";KABUPATEN KEPULAUAN SELAYAR
"7302";KABUPATEN BULUKUMBA
"7303";KABUPATEN BANTAENG
"7304";KABUPATEN JENEPONTO
"7305";KABUPATEN TAKALAR
"7306";KABUPATEN GOWA
"7307";KABUPATEN SINJAI
"7308";KABUPATEN BONE
"7309";KABUPATEN MAROS
"7310";KABUPATEN PANGKAJENE KEPULAUAN
"7311";KABUPATEN BARRU
"7312";KABUPATEN SOPPENG
"7313";KABUPATEN WAJO
"7314";KABUPATEN SIDENRENG RAPPANG
"7315";KABUPATEN PINRANG
"7316";KABUPATEN ENREKANG
"7317";KABUPATEN LUWU
"7318";KABUPATEN TANA TORAJA
"7322";KABUPATEN LUWU UTARA
"7324";KABUPATEN LUWU TIMUR
"7326";KABUPATEN TORAJA UTARA
"7371";KOTA MAKASSAR
"7372";KOTA PARE PARE
"7373";KOTA PALOPO
"7401";KABUPATEN KOLAKA
"7402";KABUPATEN KONAWE
"7403";KABUPATEN MUNA
"7404";KABUPATEN BUTON
"7405";KABUPATEN KONAWE SELATAN
"7406";KABUPATEN BOMBANA
"7407";KABUPATEN WAKATOBI
"7408";KABUPATEN KOLAKA UTARA
"7409";KABUPATEN KONAWE UTARA
"7410";KABUPATEN BUTON UTARA
"7411";KABUPATEN KOLAKA TIMUR
"7412";KABUPATEN KONAWE KEPULAUAN
"7413";KABUPATEN MUNA BARAT
"7414";KABUPATEN BUTON TENGAH
"7415";KABUPATEN BUTON SELATAN
"7471";KOTA KENDARI
"7472";KOTA BAU BAU
"7501";KABUPATEN GORONTALO
"7502";KABUPATEN BOALEMO
"7503";KABUPATEN BONE BOLANGO
"7504";KABUPATEN PAHUWATO
"7505";KABUPATEN GORONTALO UTARA
"7571";KOTA GORONTALO
"7601";KABUPATEN PASANGKAYU
"7602";KABUPATEN MAMUJU
"7603";KABUPATEN MAMASA
"7604";KABUPATEN POLEWALI MANDAR
"7605";KABUPATEN MAJENE
"7606";KABUPATEN MAMUJU TENGAH
"8101";KABUPATEN MALUKU TENGAH
"8102";KABUPATEN MALUKU TENGGARA
"8103";KABUPATEN KEPULAUAN TANIMBAR
"8104";KABUPATEN BURU
"8105";KABUPATEN SERAM BAGIAN TIMUR
"8106";KABUPATEN SERAM BAGIAN BARAT
"8107";KABUPATEN KEPULAUAN ARU
"8108";KABUPATEN MALUKU BARAT DAYA
"8109";KABUPATEN BURU SELATAN
"8171";KOTA AMBON
"8172";KOTA TUAL
"8201";KABUPATEN HALMAHERA BARAT
"8202";KABUPATEN HALMAHERA TENGAH
"8203";KABUPATEN HALMAHERA UTARA
"8204";KABUPATEN HALMAHERA SELATAN
"8205";KABUPATEN KEPULAUAN SULA
"8206";KABUPATEN HALMAHERA TIMUR
"8207";KABUPATEN PULAU MOROTAI
"8208";KABUPATEN PULAU TALIABU
"8271";KOTA TERNATE
"8272";KOTA TIDORE KEPULAUAN
"9101";KABUPATEN MERAUKE
"9102";KABUPATEN JAYAWIJAYA
"9103";KABUPATEN JAYAPURA
"9104";KABUPATEN NABIRE
"9105";KABUPATEN KEPULAUAN YAPEN
"9106";KABUPATEN BIAK NUMFOR
"9107";KABUPATEN PUNCAK JAYA
"9108";KABUPATEN PANIAI
"9109";KABUPATEN MIMIKA
"9110";KABUPATEN SARMI
"9111";KABUPATEN KEEROM
"9112";KABUPATEN PEGUNUNGAN BINTANG
"9113";KABUPATEN YAHUKIMO
"9114";KABUPATEN TOLIKARA
"9115";KABUPATEN WAROPEN
"9116";KABUPATEN BOVEN DIGOEL
"9117";KABUPATEN MAPPI
"9118";KABUPATEN ASMAT
"9119";KABUPATEN SUPIORI
"9120";KABUPATEN MAMBERAMO RAYA
"9121";KABUPATEN MAMBERAMO TENGAH
"9122";KABUPATEN YALIMO
"9123";KABUPATEN LANNY JAYA
"9124";KABUPATEN NDUGA
"9125";KABUPATEN PUNCAK
"9126";KABUPATEN DOGIYAI
"9127";KABUPATEN INTAN JAYA
"9128";KABUPATEN DEIYAI
"9171";KOTA JAYAPURA
"9201";KABUPATEN SORONG
"9202";KABUPATEN MANOKWARI
"9203";KABUPATEN FAK FAK
"9204";KABUPATEN SORONG SELATAN
"9205";KABUPATEN RAJA AMPAT
"9206";KABUPATEN TELUK BINTUNI
"9207";KABUPATEN TELUK WONDAMA
"9208";KABUPATEN KAIMANA
"9209";KABUPATEN TAMBRAUW
"9210";KABUPATEN MAYBRAT
"9211";KABUPATEN MANOKWARI SELATAN
"9212";KABUPATEN PEGUNUNGAN ARFAK
"9271";KOTA SORONG
