"city_code";"city_name"
"3173";KOTA ADM. JAKARTA BARAT
"3174";KOTA ADM. JAKARTA SELATAN
"3175";KOTA ADM. JAKARTA TIMUR
"3201";KABUPATEN BOGOR
"3202";KABUPATEN SUKABUMI
"3203";KABUPATEN CIANJUR
"3204";KABUPATEN BANDUNG
"3205";KABUPATEN GARUT
"3206";KABUPATEN TASIKMALAYA
"3207";KABUPATEN CIAMIS
"3208";KABUPATEN KUNINGAN
"3209";KABUPATEN CIREBON
"3210";KABUPATEN MAJALENGKA
"3211";KABUPATEN SUMEDANG
"3212";KABUPATEN INDRAMAYU
"3213";KABUPATEN SUBANG
"3214";KABUPATEN PURWAKARTA
"3215";KABUPATEN KARAWANG
"3216";KABUPATEN BEKASI
"3217";KABUPATEN BANDUNG BARAT
"3218";KABUPATEN PANGANDARAN
"3271";KOTA BOGOR
"3272";KOTA SUKABUMI
"3273";KOTA BANDUNG
"3274";KOTA CIREBON
"3275";KOTA BEKASI
"3276";KOTA DEPOK
"3277";KOTA CIMAHI
"3278";KOTA TASIKMALAYA
"3279";KOTA BANJAR
"3301";KABUPATEN CILACAP
"3302";KABUPATEN BANYUMAS
"3303";KABUPATEN PURBALINGGA
"3304";KABUPATEN BANJARNEGARA
"3305";KABUPATEN KEBUMEN
"3306";KABUPATEN PURWOREJO
"3307";KABUPATEN WONOSOBO
"3308";KABUPATEN MAGELANG
"3309";KABUPATEN BOYOLALI
"3310";KABUPATEN KLATEN
"3311";KABUPATEN SUKOHARJO
"3312";KABUPATEN WONOGIRI
"3313";KABUPATEN KARANGANYAR
"3314";KABUPATEN SRAGEN
"3315";KABUPATEN GROBOGAN
"3316";KABUPATEN BLORA
"3317";KABUPATEN REMBANG
"3318";KABUPATEN PATI
"3319";KABUPATEN KUDUS
"3320";KABUPATEN JEPARA
"3321";KABUPATEN DEMAK
"3322";KABUPATEN SEMARANG
"3323";KABUPATEN TEMANGGUNG
"3324";KABUPATEN KENDAL
"3325";KABUPATEN BATANG
"3326";KABUPATEN PEKALONGAN
"3327";KABUPATEN PEMALANG
"3328";KABUPATEN TEGAL
"3329";KABUPATEN BREBES
"3371";KOTA MAGELANG
"3372";KOTA SURAKARTA
"3373";KOTA SALATIGA
"3374";KOTA SEMARANG
"3375";KOTA PEKALONGAN
"3376";KOTA TEGAL
"3401";KABUPATEN KULON PROGO
"3402";KABUPATEN BANTUL
"3403";KABUPATEN GUNUNGKIDUL
"3404";KABUPATEN SLEMAN
"3471";KOTA YOGYAKARTA
"3501";KABUPATEN PACITAN
"3502";KABUPATEN PONOROGO
"3503";KABUPATEN TRENGGALEK
"3504";KABUPATEN TULUNGAGUNG
"3505";KABUPATEN BLITAR
"3506";KABUPATEN KEDIRI
"3507";KABUPATEN MALANG
"3508";KABUPATEN LUMAJANG
"3509";KABUPATEN JEMBER
"3510";KABUPATEN BANYUWANGI
"3511";KABUPATEN BONDOWOSO
"3512";KABUPATEN SITUBONDO
"3513";KABUPATEN PROBOLINGGO
"3514";KABUPATEN PASURUAN
"3515";KABUPATEN SIDOARJO
"3516";KABUPATEN MOJOKERTO
"3517";KABUPATEN JOMBANG
"3518";KABUPATEN NGANJUK
"3519";KABUPATEN MADIUN
"3520";KABUPATEN MAGETAN
"3521";KABUPATEN NGAWI
"3522";KABUPATEN BOJONEGORO
"3523";KABUPATEN TUBAN
"3524";KABUPATEN LAMONGAN
"3525";KABUPATEN GRESIK
"3526";KABUPATEN BANGKALAN
"3527";KABUPATEN SAMPANG
"3528";KABUPATEN PAMEKASAN
"3529";KABUPATEN SUMENEP
"3571";KOTA KEDIRI
"3572";KOTA BLITAR
"3573";KOTA MALANG
"3574";KOTA PROBOLINGGO
"3575";KOTA PASURUAN
"3576";KOTA MOJOKERTO
"3577";KOTA MADIUN
"3578";KOTA SURABAYA
"3579";KOTA BATU
"3601";KABUPATEN PANDEGLANG
"3602";KABUPATEN LEBAK
"3603";KABUPATEN TANGERANG
"3604";KABUPATEN SERANG
"3671";KOTA TANGERANG
"3672";KOTA CILEGON
"3673";KOTA SERANG
"3674";KOTA TANGERANG SELATAN
"5101";KABUPATEN JEMBRANA
"5102";KABUPATEN TABANAN
"5103";KABUPATEN BADUNG
"5104";KABUPATEN GIANYAR
"5105";KABUPATEN KLUNGKUNG
"5106";KABUPATEN BANGLI
"5107";KABUPATEN KARANGASEM
"5108";KABUPATEN BULELENG
"5171";KOTA DENPASAR
"5201";KABUPATEN LOMBOK BARAT
"5202";KABUPATEN LOMBOK TENGAH
"5203";KABUPATEN LOMBOK TIMUR
"5204";KABUPATEN SUMBAWA
"5205";KABUPATEN DOMPU
"5206";KABUPATEN BIMA
"5207";KABUPATEN SUMBAWA BARAT
"5208";KABUPATEN LOMBOK UTARA
"5271";KOTA MATARAM
"5272";KOTA BIMA
"5301";KABUPATEN KUPANG
"5302";KAB TIMOR TENGAH SELATAN
